日期,餐次,食物,份量,热量kcal,碳水g,蛋白质g,脂肪g,膳食纤维g,备注
2026-08-20,早餐,燕麦粥,1碗(300g),220,40,8,4,4,
2026-08-20,早餐,水煮蛋,1个(50g),75,0.6,6.5,5,0,
2026-08-20,午餐,米饭,150g,174,38,4,0.5,0.6,
2026-08-20,午餐,鸡胸肉炒西兰花,200g,240,10,32,8,4,
2026-08-20,晚餐,红薯,1个(150g),130,30,2,0.3,3,
2026-08-20,晚餐,清蒸鲈鱼,150g,165,0,30,4,0,
2026-08-21,早餐,全麦面包,2片(70g),180,32,7,2,4,
2026-08-21,早餐,牛奶,250ml,160,12,8,8,0,
2026-08-21,午餐,米饭,150g,174,38,4,0.5,0.6,
2026-08-21,午餐,番茄牛肉,200g,260,12,28,12,2,
2026-08-21,晚餐,玉米,1根(200g),220,46,6,3,4,
2026-08-21,晚餐,凉拌鸡丝,150g,180,6,28,5,2,
2026-08-22,早餐,包子,2个(120g),260,44,10,5,2,
2026-08-22,早餐,豆浆,300ml,105,8,9,4,1,
2026-08-22,晚餐,米饭,150g,174,38,4,0.5,0.6,
2026-08-22,晚餐,蒜蓉虾仁,200g,220,8,32,7,1,
2026-08-23,早餐,燕麦粥,1碗(300g),220,40,8,4,4,
2026-08-23,早餐,水煮蛋,1个(50g),75,0.6,6.5,5,0,
2026-08-23,午餐,米饭,150g,174,38,4,0.5,0.6,
2026-08-23,午餐,红烧鸡腿,200g,300,8,32,15,1,
2026-08-23,晚餐,土豆泥,200g,180,42,4,0.5,3,
2026-08-23,晚餐,香煎牛肉,150g,250,1,34,12,0,
2026-08-23,加餐,苹果,1个(200g),100,26,0.5,0.3,2,
2026-08-23,加餐,酸奶,100g,90,12,3.5,3,0,
2026-08-24,早餐,鸡蛋饼,2张(150g),300,38,12,11,2,
2026-08-24,早餐,牛奶,250ml,160,12,8,8,0,
2026-08-24,午餐,米饭,150g,174,38,4,0.5,0.6,
2026-08-24,午餐,青椒炒肉,200g,260,8,26,14,2,
2026-08-24,晚餐,南瓜,200g,90,22,2,0.2,2,
2026-08-24,晚餐,盐水鸭,120g,240,0,24,15,0,
2026-08-25,早餐,燕麦粥,1碗(300g),220,40,8,4,4,
2026-08-25,早餐,水煮蛋,1个(50g),75,0.6,6.5,5,0,
2026-08-25,午餐,米饭,150g,174,38,4,0.5,0.6,
2026-08-25,午餐,宫保鸡丁,200g,310,18,28,15,3,
2026-08-25,晚餐,紫薯,1个(150g),160,36,2,0.3,4,
2026-08-25,晚餐,清蒸鱼,150g,155,0,30,3.5,0,
2026-08-26,早餐,全麦面包,2片(70g),180,32,7,2,4,
2026-08-26,早餐,牛奶,250ml,160,12,8,8,0,
2026-08-26,午餐,米饭,150g,174,38,4,0.5,0.6,
2026-08-26,午餐,番茄炒蛋,200g,220,10,14,15,2,
2026-08-26,晚餐,玉米,1根(200g),220,46,6,3,4,
2026-08-26,晚餐,红烧牛肉,150g,280,6,30,15,1,
2026-08-27,早餐,燕麦粥,1碗(300g),220,40,8,4,4,
2026-08-27,早餐,水煮蛋,1个(50g),75,0.6,6.5,5,0,
2026-08-27,早餐,牛奶,200ml,130,9.6,6.6,7.2,0,
2026-08-27,午餐,米饭,150g,174,38,4,0.5,0.6,
2026-08-27,午餐,白灼虾,200g,190,2,38,3,0,
2026-08-27,午餐,蒜蓉生菜,150g,80,6,3,5,2,
2026-08-27,晚餐,米饭,120g,139,30,3,0.4,0.5,
2026-08-27,晚餐,香菇滑鸡,200g,260,8,30,12,2,
