日期,时间,类型,强度,原话
2026-08-15,17:20,饿,有点饿,"下午四点多就有点饿，距午餐约4小时，能忍"
2026-08-17,12:40,运动感受,正常,"晨跑5公里，不晕不喘，状态正常"
2026-08-18,08:10,运动恢复,好,"睡够7.5小时，起床精神不错，腿不酸"
2026-08-19,20:15,嘴馋,中,"晚上刷视频又想吃零食，其实不饿，是嘴馋"
2026-08-20,16:05,饿,饿,"晚饭前明显饿，肚子咕咕叫，得先垫点东西"
2026-08-21,19:30,运动感受,有点累,"骑车40分钟后有点疲惫，但能正常做家务"
2026-08-22,09:00,运动恢复,一般,"次日起来大腿微酸，精神还行"
2026-08-23,15:40,饿,有点饿,"下午嘴空，想吃甜的，喝杯水压下去了"
2026-08-25,21:30,运动感受,累,"骑行后挺累的，腿发软，休息了半小时"
2026-08-26,08:20,运动恢复,差,"昨晚运动完睡晚了，今天起不来，浑身没劲"
2026-08-26,16:30,饿,有点饿,"下午又开始嘴馋想吃东西，不是饿，忍住了"
2026-08-27,12:00,情绪,一般,"上午工作状态一般，有点烦，午饭后好转"
